cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
"25,42%","8,17%","0,80","0,45","0,13",-,"14,08","7,94","1,19","1,67","0,22","30,92%","4,69%","8,33%","10,74","R$ 9,95","7,94","R$ 9,20","1,40%","-1,64","3,40","13,28","7,48","0,66","0,74","-0,03","44,50","0,34","0,62","2,20","1,67%","4,95%","10,44%","R$ 0,0000",PGMN3,ON,"9,63","-6,50%","-3,22%","4,67%","4,37"
-%,"9,61%","1,90","1,47","0,16",-,"8,16","6,33","1,46","1,61","0,42","13,93%","2,20%","2,84%","7,64","R$ 6,10","4,18","R$ 5,77","0,95%","-0,59","0,80","6,26","4,86","0,62","0,20","0,04","14,43","0,38","0,14","0,53","1,39%","3,65%","4,52%","R$ 0,0000",PFRM3,ON,"6,10","32,61%","2,52%","5,72%","11,59"
"-24,90%",-%,"-14,58",-,"-0,34",-,"-14,58",-,"0,03","595,64","1,44","100,00%","88,45%",-%,-,R$ -,-,R$ -,"55,08%","0,00","0,00","0,00",-,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,47%","1,47%","1,47%","R$ 0,0322",FIGE4,PN,"0,00",-%,"0,00%",-%,"97,75"
-%,-%,"-0,83","-1,03","0,24",-,"-22,38","-27,58","0,13","3,03","-1,05","23,75%","-94,72%","-76,84%","23,59","R$ 17,95","9,88","R$ 16,00","-120,62%","-5,11","8,89","-21,54","-26,56","0,56","2,75","-0,63","-16,92","0,44","20,41","6,25","-16,27%","-36,96%","-14,65%","R$ 0,0000",BIOM3,ON,"17,68","67,58%","-0,11%","10,50%","2,83"
-%,"4,04%","-0,55","-0,12","-0,13",-,"110,21","24,77","0,65","0,57","0,02","30,06%","7,36%","32,74%","14,00","R$ 10,75","4,70","R$ 10,01","1,41%","-5,94","-21,68","91,33","20,53","0,80","4,35","-4,68","478,21","0,20","6,72","22,06","0,91%","4,61%","15,37%","R$ 0,0000",DTCY3,ON,"10,01","88,87%","-2,34%","-0,89%","0,45"
"7,23%","-7,16%",-,-,-,"3,57","4,43",-,"0,05",-,"0,73","50,63%","23,67%",-%,"6,27","R$ 5,87","4,70","R$ 5,71","14,58%","-0,06","0,87","4,84",-,"0,94","0,06","1,02","7,85","0,06","1,14","1,06","0,76%","13,52%",-%,"R$ 0,2057",BEES4,PN,"5,76","9,09%","-0,86%","-1,87%","5,43"
-%,"40,68%","-0,18",-,"-0,03",-,"21,28",-,"0,14","4,23","2,14","68,89%","86,08%",-%,"115,00","R$ 66,00","19,99","R$ 63,00","59,78%","-3,15","16,81","21,46",-,"0,30","2,53","0,24","30,90","0,70","18,47","3,63","8,18%","11,73%","10,50%","R$ 0,0000",GPAR3,ON,"66,00","148,68%","4,76%","4,40%","18,21"
-%,"-0,25%","-1,36",-,-,-,"-2,18",-,"0,88","0,51","-167,64","-1,71%","-19,46%",-%,"100,00","R$ 72,00","54,50","R$ 61,20","-46,18%","-0,20","-0,55","-0,87",-,"2,43","0,15","-0,01","-0,37","-1,43","0,17","-0,10","-40,42%","-28,26%","14,65%","R$ 0,0000",CEED4,PN,"61,20","-38,80%","-15,00%","-15,00%","-593,23"
"7,23%","-7,16%",-,-,-,"4,03","4,43",-,"0,05",-,"0,73","50,63%","23,67%",-%,"6,13","R$ 5,10","4,76","R$ 4,89","14,58%","-0,06","0,77","4,28",-,"0,94","0,05","0,90","6,95","0,06","1,01","0,94","0,76%","13,52%",-%,"R$ 0,2057",BEES3,ON,"5,10","1,80%","0,79%","3,03%","5,43"
"1,30%","-8,12%",-,-,-,-,"3,01",-,"0,05",-,"8,96","37,94%","42,64%",-%,"42,96","R$ 41,40","27,51","R$ 40,00","27,94%","-0,06","2,42","3,01",-,"0,88","0,06","-1,29","4,60","0,12","1,28","0,51","1,28%","10,99%",-%,"R$ 0,0000",BAZA3,ON,"41,19","38,13%","1,68%","2,95%","81,52"
"1,84%","7,78%","-0,75","-0,63","-0,11","7,89","8,30","6,96","0,76","2,05","1,74","50,03%","10,60%","12,63%","17,99","R$ 15,00","9,18","R$ 12,99","10,45%","-1,73","2,21","8,49","7,12","0,43","0,68","0,05","8,61","0,57","0,90","1,21","7,94%","14,05%","8,91%","R$ 1,1800",BALM4,PN,"14,96","37,25%","-0,27%","15,17%","12,37"
-%,"-3,90%","2,39","2,12",-,-,"3,29","2,92","0,57","0,21","-19,42","50,78%","18,15%","20,45%",-,"R$ 17,99",-,"R$ 16,99","-11,33%","-0,12","-0,03","0,57","0,51","3,02","0,06","0,01","-0,92","-2,02","0,10","-0,03","-6,42%","-3,18%","-5,89%","R$ 0,0000",ESTR3,ON,"17,80",-%,"0,00%",-%,"-611,41"
"29,19%","32,68%","2,09","2,00","0,77","2,66","4,35","4,17","0,27","1,78","1,07","56,04%","54,04%","56,39%","9,06","R$ 8,84","6,05","R$ 8,51","15,34%","-0,41","4,24","2,29","2,20","0,60","0,34","1,39","8,08","0,40","1,24","0,85","4,17%","10,53%","14,02%","R$ 0,2300",ALUP4,PN,"8,66","27,35%","1,29%","1,52%","10,17"
"33,53%","10,90%","-1,02","-0,87","-0,27","1,02","16,69","14,33","1,28","1,20","4,49","23,26%","12,97%","15,10%","97,90","R$ 94,64","75,73","R$ 83,90","12,28%","-5,17","40,57","17,71","15,21","0,38","2,94","-1,47","18,70","0,62","2,30","4,77","15,74%","25,52%","19,16%","R$ 0,8580",BAUH4,PN,"83,90","6,68%","-1,29%","-11,35%","17,59"
-%,"9,31%","170,12","10,21","1,30",-,"245,05","14,71","0,90","0,96","-4,15","16,76%","0,18%","3,07%","18,02","R$ 11,00","7,39","R$ 10,42","-6,71%","-0,27","-8,74","94,38","5,66","0,78","0,16","-0,02","-2,59","0,22","0,17","0,72","-6,02%","-27,87%","0,15%","R$ 0,0000",CEDO3,ON,"10,75","42,76%","2,28%","3,07%","14,89"
-%,"9,15%","27,40","2,91","4,82",-,"27,40","2,91","1,14","1,17","-7,27","31,41%","1,02%","9,64%",-,R$ -,-,R$ -,"-4,75%","0,00","0,00","0,00","0,00","0,93","0,00","0,00","0,00","0,07","0,00","0,00","-5,41%","-81,57%","-2,31%","R$ 0,0000",FLEX3,ON,"0,00",-%,"0,00%",-%,"8,92"
-%,"-8,21%","-24,79",-,-,-,"-228,60",-,"0,69","0,31","-1,15","26,49%","-3,96%",-%,"27,94","R$ 23,34","10,00","R$ 21,68","-40,78%","-7,46","-9,98","-203,81",-,"2,07","5,57","-0,01","-19,80","-1,07","8,07","-5,19","-28,15%","-26,20%","12,66%","R$ 0,0000",GOLL4,PN,"22,76","88,57%","-0,87%","4,98%","-4,39"
"25,57%","45,38%","7,12",-,"1,91","0,01","4.692,25",-,"1,23","0,88","0,22","12,19%","3,42%",-%,-,"R$ 3.958,44",-,"R$ 3.818,40","0,89%","-319,55","-3.731,96","4.685,13",-,"0,84","197,00","-511,34","18.030,31","0,16","160,13","1.258,08","1,09%","6,98%","8,23%","R$ 0,5143",BBML3,ON,"3.936,42",-%,"0,00%",-%,"3,13"
-%,"-19,35%","46,16",-,-,-,"55,45",-,"0,38","0,06","1,08","45,64%","10,28%",-%,"7,02","R$ 6,37","4,00","R$ 5,18","16,94%","-0,42","-0,16","9,29",-,"2,95","0,36","0,02","5,64","-1,95","0,95","-0,18","6,41%","-3,28%","-26,24%","R$ 0,0000",FRTA3,ON,"6,08","24,34%","6,11%","17,37%","-32,89"
-%,-%,"0,57",-,"0,38",-,"10,18",-,"0,94","5,92","0,65","36,81%","16,71%",-%,"9,86","R$ 7,08","5,35","R$ 6,12","14,67%","-25,86","1,92","9,61",-,"0,76","1,50","0,37","10,94","0,24","1,61","6,28","13,75%","57,44%","25,06%","R$ 0,0000",PLPL3,ON,"7,08","-24,68%","1,29%","15,69%","1,13"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"78,06%","-8,83%","-0,30","-0,30","-0,38","46,55","0,95","0,94","0,20","2,08","36,15","30,66%","392,40%","396,52%","74,46","R$ 69,00","34,08","R$ 66,00","256,85%","-2,71","3,06","1,25","1,24","0,36","1,00","0,00","1,91","0,64","4,90","1,57","52,47%","82,34%","81,43%","R$ 32,1168",PEAB3,ON,"69,00","83,56%","4,55%","4,55%","43,91"
"5,14%","8,16%","4,04","3,54","0,68","0,76","7,50","6,57","0,77","1,76","3,01","27,37%","7,51%","8,58%","43,00","R$ 37,99","22,75","R$ 32,00","2,03%","-0,59","0,69","3,42","3,00","0,66","0,20","0,06","12,63","0,34","0,26","0,58","1,57%","4,56%","3,94%","R$ 0,2874",JOPA3,ON,"37,99","37,15%","11,74%","18,72%","65,93"
"0,49%","4,15%","-0,29","-0,18","-0,06","2,32","5,48","3,51","0,40","2,41","1,28","53,56%","25,05%","39,09%","18,50","R$ 14,03","11,37","R$ 12,91","13,20%","-0,90","2,86","5,77","3,69","0,54","0,58","0,52","10,94","0,46","1,44","1,27","5,34%","11,57%","13,32%","R$ 0,3255",SEER3,ON,"14,03","-19,83%","0,29%","8,68%","11,08"
"17,84%","10,07%","1,77","1,43","0,40","4,66","5,86","4,76","0,36","1,21","3,30","59,97%","32,72%","40,30%","32,11","R$ 22,19","19,41","R$ 20,77","20,76%","-0,56","20,94","4,10","3,33","0,47","0,49","-0,83","6,46","0,53","1,34","0,93","7,55%","14,35%","11,34%","R$ 0,9930",SAPR11,,"21,30","-9,28%","2,55%","-4,01%","22,97"
-%,-%,"-11,29","-2,53","-0,09",-,"59,13","13,25","0,69","1,52","0,00","32,35%","0,66%","2,95%","15,58","R$ 9,35","8,79","R$ 9,05","0,01%","-0,48","2,83","70,42","15,78","0,43","0,32","-2,18","3.805,50","0,57","0,47","0,56","0,01%","0,01%","-1,16%","R$ 0,0000",DMVF3,ON,"9,25","-40,63%","1,09%","2,21%","16,52"
"-3,39%","-11,56%",-,-,-,"4,83","9,25",-,"0,07","33,26","4,37","17,25%","7,58%",-%,"39,10","R$ 29,95","23,36","R$ 29,11","10,28%","-0,05","0,51","9,25",-,"0,93","0,05","-0,20","6,82","0,07","0,70","0,73","0,70%","10,72%",-%,"R$ 1,4384",BBAS3,ON,"29,77","6,78%","0,44%","-0,60%","40,74"
-%,-%,"-3,50","-3,08","-0,54","24,62","9,21","8,10","0,17","1,63","1,58","82,71%","36,70%","41,69%","21,55","R$ 21,55","8,31","R$ 21,32","34,20%","-2,94","2,81","12,70","11,18","0,60","0,79","-0,20","13,63","0,40","4,66","1,98","5,83%","14,51%","8,72%","R$ 5,2967",SMLS3,ON,"21,51","96,98%","0,89%","0,51%","10,88"
"5,14%","8,16%","4,04","3,54","0,68","0,42","7,50","6,57","0,77","1,76","3,01","27,37%","7,51%","8,58%","74,88","R$ 74,88","16,83","R$ 64,00","2,03%","-1,16","1,36","6,75","5,91","0,66","0,39","0,13","24,90","0,34","0,51","1,14","1,57%","4,56%","3,94%","R$ 0,3162",JOPA4,PN,"74,88","191,36%","17,00%","17,00%","65,93"
"6,46%","-2,12%",-,-,-,"2,62","18,74",-,"0,10","0,26","1,87","16,13%","7,82%",-%,"22,12","R$ 18,80","10,76","R$ 18,17","14,15%","-0,17","-0,29","18,09",-,"0,91","0,14","-0,69","9,99","0,09","1,41","1,65","1,42%","16,53%",-%,"R$ 0,4902",SANB3,ON,"18,70","49,72%","0,16%","1,69%","11,32"
"6,46%","-2,12%",-,-,-,"2,66","18,74",-,"0,10","0,26","3,74","16,13%","7,82%",-%,"46,06","R$ 39,07","22,50","R$ 37,88","14,15%","-0,18","-0,31","18,74",-,"0,91","0,15","-0,72","10,35","0,09","1,47","1,71","1,42%","16,53%",-%,"R$ 1,0295",SANB11,,"38,75","53,77%","0,39%","0,52%","22,64"
-%,"-24,22%","0,01","0,01",-,-,"-0,30","-0,32","0,08","0,03","-4,94","48,06%","-190,02%","-181,39%",-,R$ -,-,R$ -,"-251,06%","0,00","0,00","0,00","0,00","2,03","0,00","0,00","0,00","-1,03","0,00","0,00","-19,65%","-19,11%","14,89%","R$ 0,0000",HOOT3,ON,"0,00",-%,"0,00%",-%,"-25,85"
-%,-%,"-1,07",-,"-0,16",-,"18,75",-,"1,51","4,46","0,33","24,11%","7,02%",-%,"9,00","R$ 8,65","7,29","R$ 7,80","5,85%","-8,08","3,66","19,82",-,"0,30","2,10","0,21","23,74","0,70","1,39","3,02","8,85%","12,72%","12,60%","R$ 0,0000",GMAT3,ON,"7,80","-12,75%","-0,13%","-6,47%","2,58"
"6,46%","-2,12%",-,-,-,"2,70","18,74",-,"0,10","0,26","1,87","16,13%","7,82%",-%,"24,20","R$ 20,29","11,69","R$ 19,82","14,15%","-0,18","-0,32","19,36",-,"0,91","0,15","-0,74","10,69","0,09","1,51","1,77","1,42%","16,53%",-%,"R$ 0,5393",SANB4,PN,"20,01","55,60%","0,35%","-1,38%","11,32"
"52,67%","8,78%","1,38","1,37","0,11","1,81","13,44","13,33","0,03","2,37","1,37","98,80%","177,16%","178,66%","40,12","R$ 30,48","21,05","R$ 28,96","98,89%","-0,88","6,68","12,06","11,96","0,27","0,72","0,39","21,61","0,73","21,36","0,98","3,32%","4,54%","4,06%","R$ 0,5372",LOGG3,ON,"29,60","38,25%","0,03%","-1,99%","30,15"
-%,"14,50%","3,07","1,81","0,30",-,"3,07","1,81","0,20","1,06","0,21","50,06%","27,24%","46,26%",-,R$ -,-,R$ -,"12,47%","0,00","0,00","0,00","0,00","0,44","0,00","0,00","0,00","0,56","0,00","0,00","2,53%","4,50%","5,92%","R$ 0,0000",STKF3,ON,"0,00",-%,"0,00%",-%,"4,76"
-%,"42,70%","9,70","-4,74","-0,45",-,"-48,37","23,65","0,06","4,37","-1,57","-71,84%","-26,88%","54,98%","48,00","R$ 25,85","18,00","R$ 25,10","-39,81%","-0,59","1,69","-23,97","11,72","0,63","0,41","0,29","-16,19","0,37","6,45","1,11","-2,50%","-6,84%","-3,93%","R$ 0,0000",TELB4,PN,"25,34","39,23%","0,56%","-0,35%","22,89"
"-1,85%","4,56%","-0,88","-0,66","-0,19","3,10","14,73","11,12","0,47","1,06","0,72","53,64%","27,29%","36,14%","16,72","R$ 15,87","10,81","R$ 15,00","19,49%","-2,77","133,37","15,61","11,79","0,40","1,99","-6,43","21,85","0,60","4,26","3,31","9,09%","15,14%","17,72%","R$ 0,4904",ABEV3,ON,"15,80","39,95%","-0,44%","5,33%","4,77"
-%,"-32,32%","-1,93","-1,54","0,35",-,"-5,73","-4,55","0,10","2,35","-2,24","-8,95%","-78,92%","-99,23%","13,75","R$ 7,57","6,00","R$ 7,31","-91,26%","-0,52","1,34","-3,80","-3,02","0,55","0,31","0,09","-3,28","0,45","3,00","0,68","-9,45%","-20,83%","-11,32%","R$ 0,0000",TCSA3,ON,"7,35","-5,77%","-0,68%","0,55%","10,75"
-%,-%,"-2,98",-,"-0,31",-,"20,63",-,"0,43","5,23","0,40","22,63%","18,40%",-%,"31,75","R$ 27,44","21,00","R$ 25,33","6,39%","-3,92","4,35","23,61",-,"0,25","1,85","1,61","68,00","0,75","4,34","2,49","2,73%","3,66%","7,27%","R$ 0,0000",AMBP3,ON,"26,99","-7,88%","-1,14%","6,55%","10,85"
-%,-%,"-39,55",-,"597,55",-,"-54,28",-,"0,00","0,29","0,08",-%,-%,-%,"1,90","R$ 1,74","0,95","R$ 1,40",-%,"-0,06","-0,11","-12,83",-,"1,00","0,05","-0,19","21,54","0,00",-,"193,88","0,21%","900,00%","-2,52%","R$ 0,0000",TCNO4,PN,"1,64","53,27%","1,23%","17,14%","0,01"
-%,-%,"-17,67",-,"-0,62","0,44","86,09",-,"0,26","7,24","0,03","42,69%","9,91%",-%,"14,60","R$ 12,44","9,21","R$ 10,96","2,79%","-6,73","5,26","103,76",-,"0,26","2,71","-5,25","368,28","0,74","10,28","3,66","0,74%","0,99%","1,90%","R$ 0,0550",BOAS3,ON,"12,44","-11,46%","1,80%","13,50%","3,40"
-%,"-9,24%","-6,41",-,"0,19",-,"-21,10",-,"0,41","5,19","-0,36","45,95%","-3,93%",-%,"1,88","R$ 1,88","0,99","R$ 1,53","-11,51%","-0,56","0,51","-14,70",-,"0,47","0,24","0,07","-5,02","0,53","0,58","0,45","-4,70%","-8,90%","-3,38%","R$ 0,0000",TECN3,ON,"1,80","40,63%","-0,55%","17,65%","4,03"
"57,52%","2,54%","1,70","1,26","1,27",-,"2,52","1,88","0,51","0,92","4,97","13,07%","13,07%","17,53%",-,"R$ 8,69",-,"R$ 7,85","6,33%","-0,07","-2,61","0,82","0,61","0,91","0,05","0,06","1,69","0,09","0,11","0,62","3,24%","36,34%","19,30%","R$ 0,0000",ELPL3,ON,"8,41",-%,"0,00%",-%,"13,67"
"-6,09%","7,29%","5,67","3,16","0,69","11,08","13,39","7,45","0,63","0,84","3,41","12,67%","6,70%","12,04%","30,22","R$ 19,17","5,23","R$ 19,17","4,52%","-0,22","-3,33","3,79","2,11","0,66","0,16","-0,16","5,63","0,34","0,25","0,46","2,83%","8,21%","5,07%","R$ 2,1237",COCE6,PNB,"19,17","266,54%","-36,57%","0,00%","41,49"
-%,"173,12%","1,19",-,"0,21",-,"28,19",-,"0,45","1,82","0,22","36,43%","10,49%",-%,"7,58","R$ 7,25","2,19","R$ 6,05","10,17%","-5,54","3,68","26,99",-,"0,73","1,27","0,13","27,85","0,27","2,83","4,65","4,57%","16,71%","9,30%","R$ 0,0000",PDTC3,ON,"6,11","114,39%","-1,29%","-15,72%","1,31"
-%,"-2,25%","3,50","3,42","0,41","9,27","9,99","9,77","0,16","1,71","4,04","72,63%","29,66%","30,32%","37,55","R$ 36,33","21,16","R$ 34,15","21,80%","-0,43","3,03","6,61","6,47","0,59","0,32","-0,22","8,99","0,41","1,96","0,77","3,54%","8,59%","6,62%","R$ 3,3666",ELET6,PNB,"36,33","36,63%","5,15%","6,38%","47,01"
"27,23%","-9,48%",-,-,-,"3,98","3,84",-,"0,06",-,"11,80","57,57%","40,13%",-%,"94,43","R$ 70,60","61,99","R$ 65,00","25,83%","-0,10","1,82","3,84",-,"0,90","0,10","-0,14","5,97","0,10","1,54","0,99","1,65%","16,51%",-%,"R$ 2,8040",BNBR3,ON,"70,50","-10,29%","0,00%","-0,14%","71,46"
"28,09%","10,62%","-1,11","-0,99","-0,28","1,99","3,43","3,06","1,03","4,09","6,26","30,21%","19,11%","21,38%",-,"R$ 35,00",-,"R$ 35,00","15,56%","-3,44","1,57","4,48","4,00","0,22","0,88","0,03","5,50","0,78","0,86","1,13","16,06%","20,50%","14,60%","R$ 0,6850",MTSA3,ON,"34,41",-%,"0,00%",-%,"30,53"
"59,39%","7,49%","4,83","3,58","1,01","0,29","37,60","27,88","0,30","0,87","0,14","50,85%","24,24%","32,69%","14,34","R$ 15,20","11,98","R$ 15,20","9,84%","-3,51","-155,57","41,38","30,69","0,65","3,05","-16,99","101,97","0,35","10,03","8,66","2,99%","8,50%","7,85%","R$ 0,0413",CASN3,ON,"14,34","19,70%","19,70%","0,00%","1,66"
"26,66%","14,95%","-0,05",-,"-0,01","3,61","9,27",-,"0,24","3,19","28,87","55,28%","42,80%",-%,"547,50","R$ 547,50","270,00","R$ 547,50","21,01%","-1,38","4,45","9,31",-,"0,54","0,95","-0,66","18,97","0,46","3,99","2,07","5,00%","10,91%","13,55%","R$ 19,7523",EEEL3,ON,"547,50","40,47%","4,29%","0,00%","264,59"
"3,40%","3,12%",-,-,-,"9,28","3,52",-,"0,15",-,"25,33","80,40%","31,54%",-%,-,R$ -,-,R$ -,"15,44%","-0,19","1,37","3,52",-,"0,86","0,16","-0,28","7,19","0,14","1,11","1,17","2,28%","16,25%",-%,"R$ 16,8900",BPAR3,ON,"182,07",-%,"0,00%",-%,"155,92"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20,00%","18,22%","1,68","2,26","0,89","8,04","6,01","8,10","0,25","2,80","2,19","70,57%","89,71%","66,53%","13,32","R$ 13,32","7,96","R$ 12,70","63,54%","-1,17","9,07","4,31","5,81","0,57","0,98","0,05","6,08","0,43","3,87","2,28","16,04%","37,55%","22,30%","R$ 1,0703",TAEE4,PN,"13,32","64,65%","1,45%","4,88%","5,83"
"37,33%","3,50%","0,26","0,15","0,02","0,91","30,35","17,57","0,45","2,61","0,21","33,48%","6,74%","11,65%","36,26","R$ 24,07","21,00","R$ 21,91","1,85%","-2,76","2,28","30,99","17,94","0,67","0,93","-2,56","112,92","0,33","2,09","2,80","0,83%","2,48%","3,77%","R$ 0,2149",LAME4,PN,"23,60","3,55%","1,46%","5,36%","8,42"
-%,-%,"0,79",-,"-0,25",-,"0,19",-,"-0,21","4,75","-5,16","100,00%","113,32%",-%,"6,68","R$ 6,68","3,06","R$ 4,92","58,00%","-0,19","0,79","-0,60",-,"0,22","0,15","0,01","-1,17","0,78",-,"0,19","-12,47%","-16,09%","-30,19%","R$ 0,0000",GPIV33,BDR,"6,03","64,31%","-2,11%","20,12%","32,07"
-%,"0,11%","1,62","1,12","0,26","1,62","4,57","3,14","0,68","2,16","0,80","13,54%","11,84%","17,19%","14,81","R$ 14,81","4,76","R$ 12,94","1,99%","-0,41","1,20","3,10","2,14","0,50","0,25","0,18","18,45","0,50","0,37","0,49","1,35%","2,68%","8,13%","R$ 0,2400",GOAU4,PN,"14,81","190,96%","0,95%","14,45%","30,01"
"27,12%","17,64%","-3,16","-3,03","-0,63","27,50","9,53","9,15","0,26","1,71","5,37","46,20%","32,01%","33,35%",-,"R$ 26,01",-,"R$ 26,01","44,39%","-0,97","3,04","6,54","6,28","0,58","0,55","0,04","4,72","0,42","2,09","1,30","11,60%","27,62%","8,99%","R$ 6,9704",EMAE3,ON,"25,35",-%,"0,00%",-%,"19,45"
"66,02%","29,03%","-0,06","-0,04","-0,01",-,"36,46","29,19","0,65","1,83","1,21","29,14%","12,94%","16,16%","101,45","R$ 83,85","52,04","R$ 81,75","6,90%","-4,49","21,72","36,51","29,23","0,57","3,08","0,93","68,50","0,43","4,72","7,10","4,50%","10,37%","8,23%","R$ 0,0000",GNDI3,ON,"82,70","43,73%","0,82%","0,98%","11,64"
"25,31%","4,51%","1,58",-,"0,33","0,84","5,71",-,"0,40","1,18","1,43","28,37%","22,83%",-%,"134,06","R$ 60,52","93,57","R$ 60,52","20,95%","-10,37","209,27","86,25",-,"0,57","7,84","0,98","93,97","0,43","19,69","18,12","8,35%","19,28%","9,83%","R$ 1,1279",CPLE5,PNA,"134,06","43,27%","43,27%","0,00%","7,40"
"-33,18%","-7,97%","6,31","5,90","7,31",-,"12,74","11,90","0,24","2,56","5,22","18,39%","12,73%","13,63%","50,00","R$ 50,00","48,00","R$ 48,00","6,47%","-0,30","0,49","4,86","4,55","0,97","0,15","-0,09","9,58","0,03","0,62","5,63","1,56%","58,84%","8,37%","R$ 0,0000",CALI4,PN,"50,00","4,17%","4,17%","4,17%","8,87"
-%,-%,"-0,54",-,"-0,15","7,02","9,51",-,"0,56","1,80","5,44","41,37%","29,34%",-%,"69,00","R$ 65,40","48,00","R$ 57,00","24,52%","-2,79","9,21","10,04",-,"0,42","1,66","0,02","12,02","0,58","2,95","2,85","13,82%","23,69%","21,76%","R$ 4,5932",AURA33,ON,"65,40","-0,83%","3,48%","13,21%","22,97"
-%,-%,"-1,50","-1,49","-1,02",-,"17,10","16,98","1,13","6,76","0,59","100,00%","32,02%","32,24%","11,67","R$ 11,67","1,30","R$ 8,78","40,02%","-309,43","8,08","18,60","18,47","0,47","6,73","0,03","14,88","0,53","5,96","12,63","45,26%","84,86%","63,27%","R$ 0,0000",ATOM3,ON,"8,78","536,23%","-4,98%","-24,76%","0,70"
"33,35%","17,07%","1,04","0,90","0,26","2,02","12,96","11,23","0,45","1,80","2,56","27,63%","20,16%","23,25%","49,35","R$ 49,35","22,33","R$ 45,61","12,62%","-2,12","4,99","11,92","10,33","0,63","1,08","0,33","19,04","0,37","2,40","2,95","5,69%","15,51%","10,82%","R$ 0,9859",SLCE3,ON,"48,82","112,35%","-1,07%","4,38%","16,53"
-%,"4,14%","-2,26","-3,51",-,-,"-3,56","-5,54","1,28","0,62","-18,12","14,98%","-9,89%","-6,36%","13,33","R$ 13,33","8,50","R$ 13,33","-27,33%","-0,58","-0,75","-2,03","-3,16","4,45","0,26","0,03","-0,74","-3,45","0,20","-0,07","-34,99%","-10,13%","4,07%","R$ 0,0000",SNSY6,PNB,"13,33","56,82%","15,81%","0,00%","-178,74"
-%,-%,"3,35",-,"-0,18",-,"-80,19",-,"0,54","3,03","-0,15","60,87%","-6,82%",-%,"15,73","R$ 14,95","8,87","R$ 14,57","-5,61%","-9,05","6,96","-83,54",-,"0,32","3,08","0,65","-101,57","0,68","5,69","4,54","-3,03%","-4,47%","-10,25%","R$ 0,0000",SOMA3,ON,"14,84","34,54%","0,20%","1,85%","3,27"
"37,33%","3,50%","0,26","0,15","0,02","0,99","30,35","17,57","0,45","2,61","0,21","33,48%","6,74%","11,65%","32,08","R$ 22,67","17,45","R$ 20,34","1,85%","-2,53","2,09","28,41","16,45","0,67","0,86","-2,35","103,54","0,33","1,92","2,57","0,83%","2,48%","3,77%","R$ 0,2149",LAME3,ON,"21,64","24,01%","0,70%","3,84%","8,42"
"33,76%","7,87%","1,17","0,91","0,48",-,"5,06","3,93","1,05","2,52","5,46","41,15%","16,49%","21,22%",-,"R$ 64,37",-,"R$ 64,30","9,34%","-2,87","3,20","6,68","5,19","0,58","1,15","-1,14","11,80","0,42","1,10","2,76","9,77%","23,42%","15,89%","R$ 0,0000",NAFG3,ON,"64,37",-%,"0,00%",-%,"23,30"
"53,42%","10,36%","9,02",-,"2,88","0,43","17,00",-,"0,38","2,08","1,34","20,60%","10,50%",-%,"43,24","R$ 40,55","16,00","R$ 37,31","2,81%","-0,58","1,38","7,98",-,"0,87","0,32","1,34","29,77","0,13","0,84","2,55","1,08%","8,56%","3,83%","R$ 0,1725",SIMH3,ON,"39,90","130,24%","2,10%","6,94%","15,65"
-%,"5,05%","-19,03","9,50","0,92",-,"-30,52","15,23","0,71","1,19","-3,20","6,45%","-2,11%","4,22%","16,19","R$ 13,92","11,42","R$ 11,86","-5,61%","-0,29","2,62","-11,49","5,74","0,69","0,17","0,02","-4,32","0,31","0,24","0,56","-3,96%","-12,93%","-2,09%","R$ 0,0000",MYPK3,ON,"13,81","-1,36%","-0,79%","16,44%","24,74"
-%,"0,11%","1,62","1,12","0,26","1,91","4,57","3,14","0,68","2,16","0,80","13,54%","11,84%","17,19%","12,57","R$ 12,57","4,34","R$ 11,05","1,99%","-0,34","1,02","2,64","1,81","0,50","0,21","0,15","15,66","0,50","0,31","0,42","1,35%","2,68%","8,13%","R$ 0,2400",GOAU3,ON,"12,57","168,02%","1,05%","13,76%","30,01"
"41,61%","2,49%",-,-,-,"0,80","92,50","52,63","0,05","0,92","1,17","-7,36%","7,72%","13,57%","65,78","R$ 50,36","18,91","R$ 45,75","24,86%","-1,45","-10,09","138,18","78,61","0,89","0,56","-3,41","42,93","0,11","10,67","5,28","1,30%","12,29%",-%,"R$ 0,4040",BPAC3,ON,"50,36","150,30%","3,84%","7,88%","9,54"
